DATE,AVELISPRICO_PCH
2016-08-01,-0.51280
2016-09-01,-0.57872
2016-10-01,0.50278
2016-11-01,1.31305
2016-12-01,6.05873
2017-01-01,5.14820
2017-02-01,2.46810
2017-03-01,-0.56122
2017-04-01,-2.72609
2017-05-01,-4.61312
2017-06-01,-1.20077
2017-07-01,0.78256
2017-08-01,0.07525
2017-09-01,0.04778
2017-10-01,1.44664
2017-11-01,2.35711
2017-12-01,5.20056
2018-01-01,3.85439
2018-02-01,3.53304
2018-03-01,-1.01358
2018-04-01,-4.41841
2018-05-01,-5.45694
2018-06-01,-0.41392
2018-07-01,0.66457
2018-08-01,-2.36734
2018-09-01,-1.95584
2018-10-01,-1.61333
2018-11-01,0.32949
2018-12-01,4.60783
2019-01-01,4.82136
2019-02-01,1.24210
2019-03-01,-1.32042
2019-04-01,-2.98197
2019-05-01,-2.87386
2019-06-01,-0.68540
2019-07-01,0.57321
2019-08-01,-0.39951
2019-09-01,-0.20961
2019-10-01,-0.09469
2019-11-01,1.70447
2019-12-01,5.86365
2020-01-01,5.68932
2020-02-01,4.65392
2020-03-01,-2.45453
2020-04-01,-8.42562
2020-05-01,-4.16551
2020-06-01,2.94151
2020-07-01,4.60027
2020-08-01,8.71312
2020-09-01,2.20112
2020-10-01,1.12518
2020-11-01,1.77644
2020-12-01,8.27239
2021-01-01,6.17290
2021-02-01,0.79584
2021-03-01,2.33644
2021-04-01,-0.11848
2021-05-01,-4.10030
2021-06-01,-2.89279
2021-07-01,-0.53414
2021-08-01,0.52800
2021-09-01,-2.89343
2021-10-01,-0.33680
2021-11-01,0.70357
2021-12-01,-0.29658
2022-01-01,14.74300
2022-02-01,1.75088
2022-03-01,-2.23199
2022-04-01,-5.12015
2022-05-01,-7.36188
2022-06-01,-4.25615
2022-07-01,-0.97904
2022-08-01,-0.68498
2022-09-01,-1.27761
2022-10-01,-1.28865
2022-11-01,-3.07489
2022-12-01,3.92542
2023-01-01,7.98367
2023-02-01,5.87644
2023-03-01,4.31996
