DATE,AVELISPRI12086
2016-07-01,1015932.0
2016-08-01,1006841.0
2016-09-01,996769.0
2016-10-01,989544.0
2016-11-01,996045.0
2016-12-01,1004108.0
2017-01-01,1014862.0
2017-02-01,1016766.0
2017-03-01,1021570.0
2017-04-01,1018748.0
2017-05-01,1026885.0
2017-06-01,1010606.0
2017-07-01,1017779.0
2017-08-01,1015672.0
2017-09-01,1011961.0
2017-10-01,994597.0
2017-11-01,989121.0
2017-12-01,1004738.0
2018-01-01,1020580.0
2018-02-01,1025779.0
2018-03-01,1032867.0
2018-04-01,1030847.0
2018-05-01,1036407.0
2018-06-01,1031030.0
2018-07-01,1027824.0
2018-08-01,1020741.0
2018-09-01,1023439.0
2018-10-01,1011454.0
2018-11-01,1017927.0
2018-12-01,1031466.0
2019-01-01,1032169.0
2019-02-01,1035219.0
2019-03-01,1032846.0
2019-04-01,1030936.0
2019-05-01,1037473.0
2019-06-01,1033730.0
2019-07-01,1022246.0
2019-08-01,1016993.0
2019-09-01,1023847.0
2019-10-01,1032492.0
2019-11-01,1058368.0
2019-12-01,1074593.0
2020-01-01,1085474.0
2020-02-01,1092517.0
2020-03-01,1100052.0
2020-04-01,1064696.0
2020-05-01,1075101.0
2020-06-01,1087761.0
2020-07-01,1117557.0
2020-08-01,1124223.0
2020-09-01,1141425.0
2020-10-01,1162924.0
2020-11-01,1169199.0
2020-12-01,1175179.0
2021-01-01,1140278.0
2021-02-01,1145470.0
2021-03-01,1167761.0
2021-04-01,1219493.0
2021-05-01,1277980.0
2021-06-01,1316207.0
2021-07-01,1321595.0
2021-08-01,1324170.0
2021-09-01,1354548.0
2021-10-01,1402217.0
2021-11-01,1439809.0
2021-12-01,1497936.0
2022-01-01,1545151.0
2022-02-01,1682611.0
2022-03-01,1754839.0
2022-04-01,1780905.0
2022-05-01,1882050.0
2022-06-01,1767611.0
2022-07-01,1684373.0
2022-08-01,1652037.0
2022-09-01,1617891.0
2022-10-01,1637334.0
2022-11-01,1658701.0
2022-12-01,1700657.0
2023-01-01,1730044.0
2023-02-01,1786475.0
2023-03-01,1822834.0
