DATE,AVELISPRINY
2016-07-01,813934.0
2016-08-01,799114.0
2016-09-01,809744.0
2016-10-01,851216.0
2016-11-01,867011.0
2016-12-01,872787.0
2017-01-01,889358.0
2017-02-01,954878.0
2017-03-01,977447.0
2017-04-01,1013942.0
2017-05-01,1008119.0
2017-06-01,991648.0
2017-07-01,965310.0
2017-08-01,934098.0
2017-09-01,949601.0
2017-10-01,980969.0
2017-11-01,989095.0
2017-12-01,1001523.0
2018-01-01,1026948.0
2018-02-01,1048471.0
2018-03-01,1050814.0
2018-04-01,1062069.0
2018-05-01,1061741.0
2018-06-01,1024963.0
2018-07-01,993903.0
2018-08-01,952918.0
2018-09-01,960184.0
2018-10-01,978072.0
2018-11-01,995767.0
2018-12-01,996440.0
2019-01-01,1006956.0
2019-02-01,1040481.0
2019-03-01,1058496.0
2019-04-01,1069061.0
2019-05-01,1068894.0
2019-06-01,1053974.0
2019-07-01,1025020.0
2019-08-01,1006588.0
2019-09-01,1012782.0
2019-10-01,1017197.0
2019-11-01,1033251.0
2019-12-01,1050743.0
2020-01-01,1069393.0
2020-02-01,1092866.0
2020-03-01,1094142.0
2020-04-01,1114759.0
2020-05-01,1093755.0
2020-06-01,1084447.0
2020-07-01,1115892.0
2020-08-01,1161810.0
2020-09-01,1175915.0
2020-10-01,1214402.0
2020-11-01,1228256.0
2020-12-01,1245080.0
2021-01-01,1296816.0
2021-02-01,1327060.0
2021-03-01,1334201.0
2021-04-01,1358799.0
2021-05-01,1348090.0
2021-06-01,1305875.0
2021-07-01,1249852.0
2021-08-01,1221241.0
2021-09-01,1217601.0
2021-10-01,1242478.0
2021-11-01,1279104.0
2021-12-01,1288435.0
2022-01-01,1381405.0
2022-02-01,1374047.0
2022-03-01,1399392.0
2022-04-01,1403383.0
2022-05-01,1376431.0
2022-06-01,1305762.0
2022-07-01,1252583.0
2022-08-01,1214998.0
2022-09-01,1257396.0
2022-10-01,1341430.0
2022-11-01,1394286.0
2022-12-01,1403335.0
2023-01-01,1425095.0
2023-02-01,1465399.0
2023-03-01,1479970.0
