DATE,AVELISPRIHI
2016-07-01,1262669.0
2016-08-01,1265424.0
2016-09-01,1261593.0
2016-10-01,1247306.0
2016-11-01,1261550.0
2016-12-01,1323437.0
2017-01-01,1331297.0
2017-02-01,1327785.0
2017-03-01,1322485.0
2017-04-01,1326939.0
2017-05-01,1354875.0
2017-06-01,1334328.0
2017-07-01,1326087.0
2017-08-01,1337238.0
2017-09-01,1335293.0
2017-10-01,1308070.0
2017-11-01,1312115.0
2017-12-01,1346567.0
2018-01-01,1380916.0
2018-02-01,1352078.0
2018-03-01,1339686.0
2018-04-01,1325324.0
2018-05-01,1321507.0
2018-06-01,1291495.0
2018-07-01,1284553.0
2018-08-01,1283391.0
2018-09-01,1266237.0
2018-10-01,1248482.0
2018-11-01,1247480.0
2018-12-01,1276097.0
2019-01-01,1281824.0
2019-02-01,1282872.0
2019-03-01,1307786.0
2019-04-01,1340864.0
2019-05-01,1338881.0
2019-06-01,1337463.0
2019-07-01,1328746.0
2019-08-01,1333353.0
2019-09-01,1318553.0
2019-10-01,1307949.0
2019-11-01,1319449.0
2019-12-01,1346098.0
2020-01-01,1351629.0
2020-02-01,1346328.0
2020-03-01,1328353.0
2020-04-01,1260225.0
2020-05-01,1241636.0
2020-06-01,1245727.0
2020-07-01,1264893.0
2020-08-01,1277187.0
2020-09-01,1290739.0
2020-10-01,1351815.0
2020-11-01,1396823.0
2020-12-01,1414961.0
2021-01-01,1431605.0
2021-02-01,1467657.0
2021-03-01,1525087.0
2021-04-01,1550718.0
2021-05-01,1625159.0
2021-06-01,1629523.0
2021-07-01,1641824.0
2021-08-01,1683508.0
2021-09-01,1621629.0
2021-10-01,1576567.0
2021-11-01,1615339.0
2021-12-01,1647875.0
2022-01-01,1730505.0
2022-02-01,1723315.0
2022-03-01,1729797.0
2022-04-01,1719083.0
2022-05-01,1666292.0
2022-06-01,1676459.0
2022-07-01,1631823.0
2022-08-01,1619138.0
2022-09-01,1593585.0
2022-10-01,1532595.0
2022-11-01,1516811.0
2022-12-01,1553894.0
2023-01-01,1625066.0
2023-02-01,1544460.0
2023-03-01,1550874.0
